file,sentence_id,before_preprocess,after_preprocess,tokens
ARTHROTEC.106.txt,6,I highly recommend it to anyone that suffers from arthritis.,i highly recommend it to anyone that suffers from arthritis.,"['i', 'highly', 'recommend', 'it', 'to', 'anyone', 'that', 'suffers', 'from', 'arthritis', '.']"
ARTHROTEC.107.txt,1,Hospitalization due extreme rectal bleed that required blood transfusion.,hospitalization due extreme rectal bleed that required blood transfusion.,"['hospitalization', 'due', 'extreme', 'rectal', 'bleed', 'that', 'required', 'blood', 'transfusion', '.']"
ARTHROTEC.107.txt,2,I was extremely sick and initially felt I might not survive.,i was extremely sick and initially felt i might not survive.,"['i', 'was', 'extremely', 'sick', 'and', 'initially', 'felt', 'i', 'might', 'not', 'survive', '.']"
ARTHROTEC.107.txt,3,Should be removed from market.,should be removed from market.,"['should', 'be', 'removed', 'from', 'market', '.']"
ARTHROTEC.108.txt,1,"Abdominal pain, Dizzieness and blood clots in urine which caused problems with urine leaking.","abdominal pain, dizzieness and blood clots in urine which caused problems with urine leaking.","['abdominal', 'pain', ',', 'dizzieness', 'and', 'blood', 'clots', 'in', 'urine', 'which', 'caused', 'problems', 'with', 'urine', 'leaking', '.']"
ARTHROTEC.108.txt,2,I stopped the Arthrotec twice and restarted but the same symptoms came back.,i stopped the arthrotec twice and restarted but the same symptoms came back.,"['i', 'stopped', 'the', 'arthrotec', 'twice', 'and', 'restarted', 'but', 'the', 'same', 'symptoms', 'came', 'back', '.']"
ARTHROTEC.108.txt,3,I will not take this medication again.,i will not take this medication again.,"['i', 'will', 'not', 'take', 'this', 'medication', 'again', '.']"
ARTHROTEC.109.txt,1,Upset stomach and the feeling that I may need to throw up.,upset stomach and the feeling that i may need to throw up.,"['upset', 'stomach', 'and', 'the', 'feeling', 'that', 'i', 'may', 'need', 'to', 'throw', 'up', '.']"
ARTHROTEC.109.txt,2,The pain in my stomach is in the middle of my stomach above my belly button and its a deep constant pain.,the pain in my stomach is in the middle of my stomach above my belly button and its a deep constant pain.,"['the', 'pain', 'in', 'my', 'stomach', 'is', 'in', 'the', 'middle', 'of', 'my', 'stomach', 'above', 'my', 'belly', 'button', 'and', 'its', 'a', 'deep', 'constant', 'pain', '.']"
ARTHROTEC.109.txt,3,"I also feel like I may need to go to the restroom, but when I do I can't.
MISERABLE!!.","i also feel like i may need to go to the restroom, but when i do i can't. miserable!!.","['i', 'also', 'feel', 'like', 'i', 'may', 'need', 'to', 'go', 'to', 'the', 'restroom', ',', 'but', 'when', 'i', 'do', 'i', 'ca', ""n't"", '.', 'miserable', '!', '!', '.']"
ARTHROTEC.11.txt,1,I have no side effects that I am aware of.,i have no side effects that i am aware of.,"['i', 'have', 'no', 'side', 'effects', 'that', 'i', 'am', 'aware', 'of', '.']"
ARTHROTEC.11.txt,2,I have tried various pain meds for the shoulder and nothing worked.,i have tried various pain medicines for the shoulder and nothing worked.,"['i', 'have', 'tried', 'various', 'pain', 'medicines', 'for', 'the', 'shoulder', 'and', 'nothing', 'worked', '.']"
ARTHROTEC.11.txt,3,I was skeptical when my doctor asked me to try Arthrotec,i was skeptical when my doctor asked me to try arthrotec,"['i', 'was', 'skeptical', 'when', 'my', 'doctor', 'asked', 'me', 'to', 'try', 'arthrotec']"
ARTHROTEC.11.txt,4,but my pain is totally under control without any apparent side effects.,but my pain is totally under control without any apparent side effects.,"['but', 'my', 'pain', 'is', 'totally', 'under', 'control', 'without', 'any', 'apparent', 'side', 'effects', '.']"
ARTHROTEC.110.txt,1,I had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,i had diarrhea for a whole week bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,"['i', 'had', 'diarrhea', 'for', 'a', 'whole', 'week', 'bad', 'uterine', 'cramps', 'followed', 'by', 'heavy', 'menstrual', 'bleeding', 'two', 'weeks', 'after', 'my', 'period', '.']"
ARTHROTEC.110.txt,2,Alot of gas and nausea.,alot of gas and nausea.,"['alot', 'of', 'gas', 'and', 'nausea', '.']"
ARTHROTEC.110.txt,3,"This pill stopped my pain, but cause me more pain.","this pill stopped my pain, but cause me more pain.","['this', 'pill', 'stopped', 'my', 'pain', ',', 'but', 'cause', 'me', 'more', 'pain', '.']"
ARTHROTEC.110.txt,4,The side effects are much worst than the pain itself.,the side effects are much worst than the pain itself.,"['the', 'side', 'effects', 'are', 'much', 'worst', 'than', 'the', 'pain', 'itself', '.']"
ARTHROTEC.111.txt,1,This greatly improved the swelling when I had a surgery on both legs.,this greatly improved the swelling when i had a surgery on both legs.,"['this', 'greatly', 'improved', 'the', 'swelling', 'when', 'i', 'had', 'a', 'surgery', 'on', 'both', 'legs', '.']"
ARTHROTEC.111.txt,2,There weren't any side effects.,there weren't any side effects.,"['there', 'were', ""n't"", 'any', 'side', 'effects', '.']"
ARTHROTEC.111.txt,3,maybe a little gas but may not be related to the drug.,maybe a little gas but may not be related to the drug.,"['maybe', 'a', 'little', 'gas', 'but', 'may', 'not', 'be', 'related', 'to', 'the', 'drug', '.']"
ARTHROTEC.111.txt,4,I would recommend this to anyone that has swelling of any sort to help heal an injury.,i would recommend this to anyone that has swelling of any sort to help heal an injury.,"['i', 'would', 'recommend', 'this', 'to', 'anyone', 'that', 'has', 'swelling', 'of', 'any', 'sort', 'to', 'help', 'heal', 'an', 'injury', '.']"
ARTHROTEC.111.txt,5,The doctor did say to only take it 5 days though because it reduces mucus in the stomach and it can cause extreme stomach pain if taken too long.,the doctor did say to only take it 5 days though because it reduces mucus in the stomach and it can cause extreme stomach pain if taken too long.,"['the', 'doctor', 'did', 'say', 'to', 'only', 'take', 'it', '5', 'days', 'though', 'because', 'it', 'reduces', 'mucus', 'in', 'the', 'stomach', 'and', 'it', 'can', 'cause', 'extreme', 'stomach', 'pain', 'if', 'taken', 'too', 'long', '.']"
ARTHROTEC.112.txt,1,"I can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries (menopausal for 20 years) pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.","i can't describe the horrible stomach pain, constipation, uterine, cramps and pain in the ovaries menopausal for 20 years pressure in the stomach, couldn't urinate for a whole day, severe stomach pain, constant burping.","['i', 'ca', ""n't"", 'describe', 'the', 'horrible', 'stomach', 'pain', ',', 'constipation', ',', 'uterine', ',', 'cramps', 'and', 'pain', 'in', 'the', 'ovaries', 'menopausal', 'for', '20', 'years', 'pressure', 'in', 'the', 'stomach', ',', 'could', ""n't"", 'urinate', 'for', 'a', 'whole', 'day', ',', 'severe', 'stomach', 'pain', ',', 'constant', 'burping', '.']"
ARTHROTEC.112.txt,2,The experience was a certain kind of hell!.,the experience was a certain kind of hell!.,"['the', 'experience', 'was', 'a', 'certain', 'kind', 'of', 'hell', '!', '.']"
ARTHROTEC.112.txt,3,This drug is a bad trip!.,this drug is a bad trip!.,"['this', 'drug', 'is', 'a', 'bad', 'trip', '!', '.']"
ARTHROTEC.113.txt,1,"Within 15 minutes started to have stomach cramping, almost like period cramps.","within 15 minutes started to have stomach cramping, almost like period cramps.","['within', '15', 'minutes', 'started', 'to', 'have', 'stomach', 'cramping', ',', 'almost', 'like', 'period', 'cramps', '.']"
ARTHROTEC.113.txt,2,I was on the toilet for a good 30 minutes in extreme pain.,i was on the toilet for a good 30 minutes in extreme pain.,"['i', 'was', 'on', 'the', 'toilet', 'for', 'a', 'good', '30', 'minutes', 'in', 'extreme', 'pain', '.']"
ARTHROTEC.113.txt,3,"My uterus starting to have spasms which was the worst pain I have ever experienced, I got some nausea from the pain, I had to go to bed in a ball and just lie there until the pain subsided which felt like an eternity.","my uterus starting to have spasms which was the worst pain i have ever experienced, i got some nausea from the pain, i had to go to bed in a ball and just lie there until the pain subsided which felt like an eternity.","['my', 'uterus', 'starting', 'to', 'have', 'spasms', 'which', 'was', 'the', 'worst', 'pain', 'i', 'have', 'ever', 'experienced', ',', 'i', 'got', 'some', 'nausea', 'from', 'the', 'pain', ',', 'i', 'had', 'to', 'go', 'to', 'bed', 'in', 'a', 'ball', 'and', 'just', 'lie', 'there', 'until', 'the', 'pain', 'subsided', 'which', 'felt', 'like', 'an', 'eternity', '.']"
ARTHROTEC.113.txt,4,Then when the pain subsided I begin to have some bleeding,then when the pain subsided i begin to have some bleeding,"['then', 'when', 'the', 'pain', 'subsided', 'i', 'begin', 'to', 'have', 'some', 'bleeding']"
ARTHROTEC.113.txt,5,and I was on day 12 of my cycle.,and i was on day 12 of my cycle.,"['and', 'i', 'was', 'on', 'day', '12', 'of', 'my', 'cycle', '.']"
ARTHROTEC.113.txt,6,I would rather die than take this drug again.,i would rather die than take this drug again.,"['i', 'would', 'rather', 'die', 'than', 'take', 'this', 'drug', 'again', '.']"
ARTHROTEC.113.txt,7,"Although It works wonders for my back pain, it is not worth it to go through the uterus pain and cramping.","although it works wonders for my back pain, it is not worth it to go through the uterus pain and cramping.","['although', 'it', 'works', 'wonders', 'for', 'my', 'back', 'pain', ',', 'it', 'is', 'not', 'worth', 'it', 'to', 'go', 'through', 'the', 'uterus', 'pain', 'and', 'cramping', '.']"
ARTHROTEC.113.txt,8,I am going to try and find a sister drug to arthrotec.,i am going to try and find a sister drug to arthrotec.,"['i', 'am', 'going', 'to', 'try', 'and', 'find', 'a', 'sister', 'drug', 'to', 'arthrotec', '.']"
ARTHROTEC.113.txt,9,"Its weird because I have been taking this drug off and on for about 4 months and this only has happened to me 3 times, but I have no way of knowing when it will randomly happen and it is not worth it to take that risk.","its weird because i have been taking this drug off and on for about 4 months and this only has happened to me 3 times, but i have no way of knowing when it will randomly happen and it is not worth it to take that risk.","['its', 'weird', 'because', 'i', 'have', 'been', 'taking', 'this', 'drug', 'off', 'and', 'on', 'for', 'about', '4', 'months', 'and', 'this', 'only', 'has', 'happened', 'to', 'me', '3', 'times', ',', 'but', 'i', 'have', 'no', 'way', 'of', 'knowing', 'when', 'it', 'will', 'randomly', 'happen', 'and', 'it', 'is', 'not', 'worth', 'it', 'to', 'take', 'that', 'risk', '.']"
ARTHROTEC.113.txt,10,I have began to think it has something to do with the day of my cycle affecting how bad the pains will be.,i have began to think it has something to do with the day of my cycle affecting how bad the pains will be.,"['i', 'have', 'began', 'to', 'think', 'it', 'has', 'something', 'to', 'do', 'with', 'the', 'day', 'of', 'my', 'cycle', 'affecting', 'how', 'bad', 'the', 'pains', 'will', 'be', '.']"
ARTHROTEC.114.txt,1,"15 minutes after taking , i experienced severe stomach cramping.","15 minutes after taking , i experienced severe stomach cramping.","['15', 'minutes', 'after', 'taking', ',', 'i', 'experienced', 'severe', 'stomach', 'cramping', '.']"
ARTHROTEC.114.txt,2,but after trying celebrex (without any relief).,but after trying celebrex without any relief .,"['but', 'after', 'trying', 'celebrex', 'without', 'any', 'relief', '.']"
ARTHROTEC.114.txt,3,i decided i could tolerate stomach pain since i go relief.,i decided i could tolerate stomach pain since i go relief.,"['i', 'decided', 'i', 'could', 'tolerate', 'stomach', 'pain', 'since', 'i', 'go', 'relief', '.']"
ARTHROTEC.114.txt,4,"BUT now after having been off of meds for 3 weeks, I am experiencing high blood pressure and ankle swelling like crazy!!!!!","but now after having been off of medicines for 3 weeks, i am experiencing high blood pressure and ankle swelling like crazy!!!!!","['but', 'now', 'after', 'having', 'been', 'off', 'of', 'medicines', 'for', '3', 'weeks', ',', 'i', 'am', 'experiencing', 'high', 'blood', 'pressure', 'and', 'ankle', 'swelling', 'like', 'crazy', '!', '!', '!', '!', '!']"
ARTHROTEC.114.txt,5,HAS ANYONE EXPERIENCED,has anyone experienced,"['has', 'anyone', 'experienced']"
ARTHROTEC.114.txt,6,THIS,this,['this']
ARTHROTEC.114.txt,7,"AFTER BEING OFF OF THE DRUG FOR 3 WEEKS OR SO???????.
never take again!!!!.",after being off of the drug for 3 weeks or so???????. never take again!!!!.,"['after', 'being', 'off', 'of', 'the', 'drug', 'for', '3', 'weeks', 'or', 'so', '?', '?', '?', '?', '?', '?', '?', '.', 'never', 'take', 'again', '!', '!', '!', '!', '.']"
ARTHROTEC.115.txt,1,"Stomach cramps, gassy most of the day.","stomach cramps, gassy most of the day.","['stomach', 'cramps', ',', 'gassy', 'most', 'of', 'the', 'day', '.']"
ARTHROTEC.115.txt,2,Cannot take it on an empty stomach!.,cannot take it on an empty stomach!.,"['can', 'not', 'take', 'it', 'on', 'an', 'empty', 'stomach', '!', '.']"
ARTHROTEC.115.txt,3,I can finally clean my house without pain.,i can finally clean my house without pain.,"['i', 'can', 'finally', 'clean', 'my', 'house', 'without', 'pain', '.']"
ARTHROTEC.115.txt,4,"I am feeling so much better, I can sleep all night and rise in the morning without pain.","i am feeling so much better, i can sleep all night and rise in the morning without pain.","['i', 'am', 'feeling', 'so', 'much', 'better', ',', 'i', 'can', 'sleep', 'all', 'night', 'and', 'rise', 'in', 'the', 'morning', 'without', 'pain', '.']"
ARTHROTEC.116.txt,1,Swelling & weight increase.,swelling and weight increase.,"['swelling', 'and', 'weight', 'increase', '.']"
ARTHROTEC.116.txt,2,No relief in pain.,no relief in pain.,"['no', 'relief', 'in', 'pain', '.']"
ARTHROTEC.116.txt,3,My doctor advise that I stop using.,my doctor advise that i stop using.,"['my', 'doctor', 'advise', 'that', 'i', 'stop', 'using', '.']"
ARTHROTEC.117.txt,1,"uncontrollable Diarrhea,kidney function.","uncontrollable diarrhea,kidney function.","['uncontrollable', 'diarrhea', ',', 'kidney', 'function', '.']"
ARTHROTEC.117.txt,2,"This product is the best medicine for arthritis pain I have ever taken, however after taking it for approx.","this product is the best medicine for arthritis pain i have ever taken, however after taking it for approx.","['this', 'product', 'is', 'the', 'best', 'medicine', 'for', 'arthritis', 'pain', 'i', 'have', 'ever', 'taken', ',', 'however', 'after', 'taking', 'it', 'for', 'approx', '.']"
ARTHROTEC.117.txt,3,"10 years it started affecting my kidneys, my stomach(acid reflux) and the diarrhea got worse, short term, I had no problems,this would be a great product if the manufacturer could get rid of the side effects.","10 years it started affecting my kidneys, my stomach acid reflux and the diarrhea got worse, short term, i had no problems,this would be a great product if the manufacturer could get rid of the side effects.","['10', 'years', 'it', 'started', 'affecting', 'my', 'kidneys', ',', 'my', 'stomach', 'acid', 'reflux', 'and', 'the', 'diarrhea', 'got', 'worse', ',', 'short', 'term', ',', 'i', 'had', 'no', 'problems', ',', 'this', 'would', 'be', 'a', 'great', 'product', 'if', 'the', 'manufacturer', 'could', 'get', 'rid', 'of', 'the', 'side', 'effects', '.']"
ARTHROTEC.118.txt,1,"appetite increase, stomach feels empty all the time.","appetite increase, stomach feels empty all the time.","['appetite', 'increase', ',', 'stomach', 'feels', 'empty', 'all', 'the', 'time', '.']"
ARTHROTEC.118.txt,2,"pain feels better, but the appetite increase worries me.","pain feels better, but the appetite increase worries me.","['pain', 'feels', 'better', ',', 'but', 'the', 'appetite', 'increase', 'worries', 'me', '.']"
ARTHROTEC.119.txt,1,"Headache, dizziness.","headache, dizziness.","['headache', ',', 'dizziness', '.']"
ARTHROTEC.119.txt,2,"I took 1 tablet today, and won't take another one.","i took 1 tablet today, and won't take another one.","['i', 'took', '1', 'tablet', 'today', ',', 'and', 'wo', ""n't"", 'take', 'another', 'one', '.']"
ARTHROTEC.119.txt,3,I looked up the side-effects because of a headache and am scared to death by what I read.,i looked up the side-effects because of a headache and am scared to death by what i read.,"['i', 'looked', 'up', 'the', 'side', '-', 'effects', 'because', 'of', 'a', 'headache', 'and', 'am', 'scared', 'to', 'death', 'by', 'what', 'i', 'read', '.']"
ARTHROTEC.12.txt,1,Some stomach sensitivity.,some stomach sensitivity.,"['some', 'stomach', 'sensitivity', '.']"
ARTHROTEC.12.txt,2,I am taking it only 1 time per day because of the possible side effects.,i am taking it only 1 time per day because of the possible side effects.,"['i', 'am', 'taking', 'it', 'only', '1', 'time', 'per', 'day', 'because', 'of', 'the', 'possible', 'side', 'effects', '.']"
ARTHROTEC.12.txt,3,Without this drug I was severly restricted and could only walk less than 100 meters.,without this drug i was severly restricted and could only walk less than 100 meters.,"['without', 'this', 'drug', 'i', 'was', 'severly', 'restricted', 'and', 'could', 'only', 'walk', 'less', 'than', '100', 'meters', '.']"
ARTHROTEC.12.txt,4,With the drug I can walk 1/2 km and function.,with the drug i can walk 1 2 km and function.,"['with', 'the', 'drug', 'i', 'can', 'walk', '1', '2', 'km', 'and', 'function', '.']"
ARTHROTEC.12.txt,5,I am thinking of increasing it to twice per day and/or getting surgery and/or epidural steroid injection.,i am thinking of increasing it to twice per day and or getting surgery and or epidural steroid injection.,"['i', 'am', 'thinking', 'of', 'increasing', 'it', 'to', 'twice', 'per', 'day', 'and', 'or', 'getting', 'surgery', 'and', 'or', 'epidural', 'steroid', 'injection', '.']"
ARTHROTEC.120.txt,1,"After taking my first pill, I quickly experienced extreme uterine cramping.","after taking my first pill, i quickly experienced extreme uterine cramping.","['after', 'taking', 'my', 'first', 'pill', ',', 'i', 'quickly', 'experienced', 'extreme', 'uterine', 'cramping', '.']"
